codigo,descricao
1,Amapá da Igualdade Social
2,Amapá do Desenvolvimento Econômico Sustentável
3,Amapá da Infraestrutura Sustentável
4,Amapá da Justiça e Paz
5,Amapá da Governança e Gestão Inovadora
6,OUTROS PODERES
