nome_coluna,descricao
dotacao_inicial,dotação inicial
dotacao_inicial,dotação
dotacao_atualizada,dotação atualizada
despesas_pagas,despesas pagas
despesas_pagas,pago
despesas_pagas,despesa paga
despesas_empenhadas,despesas empenhadas
despesas_empenhadas,despesa empenhada
despesas_empenhadas,empenhado
despesas_liquidadas,despesas liquidadas
despesas_liquidadas,despesa liquidada
despesas_liquidadas,liquidado
